ID,Category,Injection,Precondition,Required outcome,Latch/reset requirement,Evidence required,Desk status
PWR-01,Control power,Remove PS1 input,RUN,K1 and K2 de-energize and controlled output loses power,Manual ARM after power return,"coil; contact; input-current traces",PENDING_LIVE
PWR-02,Control power,Brown out PS1 across specified range,RUN,WD2/SR1 trip before outputs become indeterminate,Latched if SR1 supports brownout latch,"PS1; WD2; coil traces",PENDING_COMPONENT_SELECTION
PWR-03,Load power,Open K1 coil circuit,RUN,K1 opens; output loses power; discrepancy is logged,Manual ARM after repair,"K1 coil; K1/K2 main; current traces",PENDING_LIVE
PWR-04,Load power,Open K2 coil circuit,RUN,K2 opens; output loses power; discrepancy is logged,Manual ARM after repair,"K2 coil; K1/K2 main; current traces",PENDING_LIVE
PWR-05,Weld tolerance,Mechanically hold K1 main pole closed in controlled dummy-load fixture,RUN then trip,K2 opens and removes output power; EDM enters fault lockout,Repair required; reset refused,"main contacts; mirror contacts; load current",PENDING_DUMMY_LOAD
PWR-06,Weld tolerance,Mechanically hold K2 main pole closed in controlled dummy-load fixture,RUN then trip,K1 opens and removes output power; EDM enters fault lockout,Repair required; reset refused,"main contacts; mirror contacts; load current",PENDING_DUMMY_LOAD
PWR-07,Weld tolerance,Simulate both main contacts welded,Dummy load only,EDM indicates unresolved hazardous fault; lockable upstream disconnect removes supply,Repair required; no reset,"EDM; upstream disconnect; load current",PENDING_DUMMY_LOAD
PWR-08,Coil driver,Force Q1 control stuck active,RUN then safety trip,K2 still opens and removes output power; K1 discrepancy is detected,Repair required if K1 fails to open,"Q1; coils; contacts; current traces",PENDING_DUMMY_LOAD
PWR-09,Coil driver,Force Q2 control stuck active,RUN then safety trip,K1 still opens and removes output power; K2 discrepancy is detected,Repair required if K2 fails to open,"Q2; coils; contacts; current traces",PENDING_DUMMY_LOAD
PWR-10,Restart,Interrupt and restore facility mains,RUN,Fixture returns SAFE_OFF; Nano does not auto-power,Manual ARM required,"state log; coil and output-voltage traces",PENDING_LIVE
PWR-11,USB PD,Cold and warm start through the exact candidate charger/cable,START_WINDOW,PD analyzer shows only the approved stable profile; any negotiation loop dropout or undervoltage refuses the pair,Manual ARM after failed start,"PD protocol; VBUS/current; boot state; charger identity",PENDING_LIVE
PWR-12,USB thermal,Operate the exact charger/cable pair at worst-case qualified Nano load and ambient,RUN,Charger cable and both connector temperatures remain below reviewed ratings with margin and no discoloration odor deformation or voltage instability,No reset solely for a passing thermal test,"calibrated charger/cable/connector temperatures; VBUS/current; inspection",PENDING_THERMAL
PWR-13,USB substitution,Replace any approved power-assembly component or present only generic marketplace fields such as 12V/11.67A,SAFE_OFF,Release configuration control refuses production use until one exact candidate lane repeats authenticity/nameplate output-cable PD electrical and thermal qualification,No production ARM under release procedure,"candidate-lane identity; nameplate; captive-lead inspection or e-marker; PD capture; qualification record",PENDING_PROCEDURE
PWR-14,Monitor power,Remove WD1 heartbeat-monitor supply only,RUN,WD1 healthy contacts open and both coils drop within the qualified cutoff budget,Latched; manual reset after monitor supply and waveform recover,"WD1 supply; WD1 contacts; coils; current traces",PENDING_DUMMY_LOAD
PWR-15,Monitor power,Remove FS1 fan-monitor supply only,RUN,FS1 healthy contacts open and both coils drop within the qualified thermal budget,Latched; manual reset after monitor supply and valid fan motion recover,"FS1 supply; FS1 contacts; coils; current traces",PENDING_DUMMY_LOAD
PWR-16,Monitor power,Remove TL1 temperature-limit supply only,RUN,TH1 healthy contact opens and both coils drop; TH2 cannot mask the fault,Latched; manual reset after channel repair,"TL1 supply; TH1 contact; coils; current traces",PENDING_DUMMY_LOAD
PWR-17,Monitor power,Remove TL2 temperature-limit supply only,RUN,TH2 healthy contact opens and both coils drop; TH1 cannot mask the fault,Latched; manual reset after channel repair,"TL2 supply; TH2 contact; coils; current traces",PENDING_DUMMY_LOAD
EST-01,E-stop,Open E-stop channel A,RUN,Both coils drop within qualified cutoff budget,Latched; manual reset after loop repair,"E-stop channels; coils; current traces",PENDING_DUMMY_LOAD
EST-02,E-stop,Open E-stop channel B,RUN,Both coils drop within qualified cutoff budget,Latched; manual reset after loop repair,"E-stop channels; coils; current traces",PENDING_DUMMY_LOAD
EST-03,E-stop,Create channel timing discrepancy,SELF_TEST or RUN,SR1 refuses run or trips and reports discrepancy,Manual reset after repair,"channel timing; SR1 state",PENDING_COMPONENT_SELECTION
