board_target	family	storage_topology	update_mechanism	update_maturity	install_authorization	recovery_maturity	artifact_kind	artifact_maturity	external_media_mode	external_media_maturity	external_media_authorization	external_media_write_allowed	public_beta_install	persistent_update_allowed	transport
am1-s9	zynq	redundant_slots	zynq_ubi_fw_setenv	experimental	public_beta	not_implemented	sysupgrade	experimental	boot_only	boot_witnessed	public_beta	1	1	1	fpga_uio
am1-s9i	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	evidence_only	none	not_implemented	boot_only	artifact_generated	lab_only	1	0	0	none
am1-s9j	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	evidence_only	none	not_implemented	boot_only	artifact_generated	lab_only	1	0	0	none
am1-s9se	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	0	none
am1-s9k	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	0	none
am1-s11	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	none	not_implemented	none	not_implemented	denied	0	0	0	none
am1-s15	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	none	not_implemented	none	not_implemented	denied	0	0	0	none
am1-t15	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	none	not_implemented	none	not_implemented	denied	0	0	0	none
am1-t9plus	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	none	not_implemented	none	not_implemented	denied	0	0	0	none
am2-s19j	zynq	redundant_slots	zynq_ubi_fw_setenv	experimental	public_beta	not_implemented	sysupgrade	experimental	boot_only	artifact_generated	lab_only	1	0	1	zynq_hybrid
am2-s19pro	zynq	redundant_slots	zynq_ubi_fw_setenv	experimental	lab_only	not_implemented	sysupgrade	experimental	boot_only	artifact_generated	lab_only	1	0	1	zynq_hybrid
am2-s17p	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	0	zynq_hybrid
am2-s17plus	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	0	zynq_hybrid
am2-t17	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	0	zynq_hybrid
am2-t17plus	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	0	zynq_hybrid
am2-s17e	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	none	not_implemented	none	not_implemented	denied	0	0	0	none
am2-t17e	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	none	not_implemented	none	not_implemented	denied	0	0	0	none
am2-t19	zynq	redundant_slots	zynq_ubi_fw_setenv	not_implemented	denied	not_implemented	none	not_implemented	none	not_implemented	denied	0	0	0	zynq_hybrid
am3-bb	beaglebone	external_media_only	sd_image	not_implemented	lab_only	evidence_only	sdcard_payload	experimental	boot_only	media_written	denied	0	0	0	serial
am3-bb-s19jpro	beaglebone	external_media_only	sd_image	not_implemented	lab_only	evidence_only	sdcard_payload	experimental	boot_only	media_written	lab_only	1	0	0	serial
am3-s21	amlogic	single_slot	host_rootfs_window	experimental	lab_only	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	1	serial
am3-s21pro	amlogic	single_slot	host_rootfs_window	experimental	lab_only	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	1	serial
am3-s21xp	amlogic	unknown	none	not_implemented	denied	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	0	serial
am3-t21	amlogic	unknown	none	not_implemented	denied	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	0	serial
am3-s19k	amlogic	single_slot	host_rootfs_window	experimental	lab_only	evidence_only	sysupgrade	experimental	none	not_implemented	denied	0	0	1	serial
am3-s19xp	amlogic	unknown	none	not_implemented	denied	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	0	serial
am3-s19jxp	amlogic	unknown	none	not_implemented	denied	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	0	serial
am3-s19jproplus	amlogic	single_slot	host_rootfs_window	experimental	lab_only	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	1	serial
am3-s19jpro-aml	amlogic	single_slot	host_rootfs_window	experimental	lab_only	not_implemented	sysupgrade	experimental	none	not_implemented	denied	0	0	1	serial
cv1835-s19jpro	cvitek	single_slot	emmc_content_selector_evidence_only	not_implemented	denied	not_implemented	none	not_implemented	none	not_implemented	denied	0	0	0	uart_trans
bcb100-s19jpro	stm32mp15	unknown	none	not_implemented	denied	not_implemented	none	not_implemented	none	not_implemented	denied	0	0	0	none
