Ref,Qty,Class,Minimum requirement,Reason,Selection status,Qualification evidence
QF1/F1,1,Input disconnect and overcurrent protection,"Lockable disconnect plus branch protection selected for local code, conductor, enclosure and adapter fault current",Safe isolation and wiring protection,TBD_ENGINEERING_SELECTION,Datasheet and inspection record
PS1,1,Always-on control supply,"Certified isolated 24 VDC supply upstream of K1/K2; sized for both coils and all monitors with documented margin",Supervisor remains powered after trip,TBD_ENGINEERING_SELECTION,Certification and load/brownout test
PWR-USB,1 set,Controlled USB-C power assembly,"Qualify exactly one lane: authentic Canaan TP14A1 with intact captive USB-C lead and regional AC cord; or Plugable PS-EPR-140C1 North American charger plus USB4-240W-1M passive 1 m cable. Exact nameplate/listing/output-cable identity must match; required PDO negotiated and connector temperatures measured",The complete source-and-output-cable assembly is load-bearing and marketplace metadata is not electrical identity,CANDIDATE_NOT_APPROVED,"USB_C_POWER_CHAIN_QUALIFICATION.md; authenticity/purchase record; physical nameplate; listing match; captive-lead inspection or e-marker capture; PD trace; sustained power and connector-temperature traces"
K1/K2,2,Normally-open power contactor,"Force/positively guided contacts; 24 VDC coils; mirror contact; mains and measured adapter inrush interruption rating",Series redundancy and weld detection,TBD_ENGINEERING_SELECTION,Datasheet derating and measured inrush
SR1,1,Safety relay or safety controller,"Dual-channel E-stop; manual monitored reset; two independent safety outputs; EDM; de-energize-to-trip behavior",No single ordinary MCU output controls both contactors,TBD_ENGINEERING_SELECTION,Architecture review and fault tests
WD1,1,Dynamic heartbeat monitor,"Separately protected control-power branch; opto-isolated input; rising/falling-edge window; stuck-high/low detection; configurable timeout; healthy relay de-energizes on signal fault or monitor-power loss",Detect loss of DCENT control custody,TBD_ENGINEERING_SELECTION,"Waveform; timeout; isolated monitor-power-loss tests"
WD2,1,Independent supervisor watchdog,"Separately protected control-power branch; external hardware watchdog or monitoring relay; cannot be serviced by U1 free-running interrupt alone; healthy relay defaults open on fault or monitor-power loss",Detect safety-controller clock/firmware/brownout faults,TBD_ENGINEERING_SELECTION,"Clock halt; brownout; isolated monitor-power-loss tests"
KT1/KT2,2,Startup-window timing relays,"Independent non-retriggerable hardware one-shots; one per SR1 channel; trigger only from manual arm with contactors proved open; de-energize on timeout",Bounded boot before Nano heartbeat/fan tach exist; one stuck timer cannot sustain both channels,TBD_AFTER_BOOT_THERMAL_CHARACTERIZATION,Timeout/retrigger/stuck-contact fault tests
TH1/TH2,2,Temperature sensor assembly,"Industrial sensor with positive mechanical retention; compatible with open/short-detecting limit monitor; calibration record",Independent physical temperature evidence,TBD_THERMAL_MAPPING,Calibration and retention inspection
TL1/TL2,2,Hardware temperature limit,"Independent separately protected monitor-power branches; lead open/short over-limit or monitor-power loss de-energizes each healthy relay; configurable trip/reset",Trip independent of Linux and miner,TBD_ENGINEERING_SELECTION,"Injected resistance/temperature sweep; isolated channel-power-loss tests"
FS1,1,Fan-motion monitor,"Separately protected control-power branch; independent optical/Hall pickup preferred; isolated frequency-window relay; missing/stuck/under-speed or monitor-power-loss detection",Does not trust PWM command or stock API,TBD_FAN_CHARACTERIZATION,"RPM correlation; waveform faults; isolated monitor-power-loss test"
S0,1,Emergency stop,"Maintained latching mushroom; dual normally-closed positively opening contacts; accessible and labelled",Immediate local de-energization,TBD_ENGINEERING_SELECTION,Channel-open and reset test
S1,1,Manual reset/arm,"Momentary guarded pushbutton; SR1 accepts only a new post-proof edge; a maintained or welded input cannot create initial or automatic restart",Deliberate start after inspection,TBD_ENGINEERING_SELECTION,"State-machine; held-input; power-return tests"
Q1/Q2,2,Coil drive and suppression,"Independent protected 24 V coil circuits; suppression selected so contactor release still meets cutoff budget",Drive isolation without unsafe release delay,TBD_AFTER_K1_K2_SELECTION,Release-time oscilloscope trace
J2,1,Heartbeat interface,"Keyed isolated low-voltage connector; dry-contact/open-collector return; optional isolated challenge; no Nano ground required",Physical dynamic custody input,TBD_NANO_INTERFACE,Hi-pot/isolation and stuck-input test
J3,1,Fan sensor interface,"Keyed separately from heartbeat, thermal and coil connectors; shield/termination as required by measured sensor",Avoid miswire and noise-induced valid state,TBD_AFTER_SENSOR_SELECTION,EMI/noise and miswire test
J4/J5,2,Thermal interface,"Keyed sensor connectors with open/short detection and strain relief",Disconnected sensor trips,TBD_AFTER_SENSOR_SELECTION,Open/short/miswire test
J6/J7,2,Operator interface,"Keyed low-voltage connectors for dual-channel E-stop and momentary reset",Maintain fail-safe loops,TBD_ENGINEERING_SELECTION,Continuity and channel discrepancy test
J8/J9,2,Contactor interface,"Separate protected coil outputs and keyed mirror-feedback input",Independent actuation and EDM,TBD_AFTER_K1_K2_SELECTION,Single-channel and weld tests
J10,1,Diagnostic isolation,"Galvanically isolated read-only status/log interface with no path that bypasses SR1",Diagnostics cannot authorize power,TBD_OPTIONAL,Isolation and command-negative test
F2/F3,2,Coil branch protection,"Individually sized for K1/K2 coil wiring and inrush",One coil fault does not disable fault indication or weld detection,TBD_AFTER_K1_K2_SELECTION,Fault-current calculation
TB/ENC,1 set,Enclosure and wiring system,"Touch-safe certified enclosure; PE bonding; finger-safe terminals; barriers; strain relief; code-compliant wire and labels",Contain mains and prevent accidental contact,TBD_DEPLOYMENT_REGION,PE/insulation/polarity/visual inspection
DS1,1,Trip/armed indication,"Hardwired visible state indication powered upstream of cutoff; failure cannot energize coils",Operator can distinguish open/tripped/weld fault,TBD_ENGINEERING_SELECTION,Lamp-open/short test
TP1 set,1,Protected measurement points,"Finger-safe isolated test points for low-voltage safety states; mains measurements only through rated instruments",Repeatable qualification without exposed conductors,TBD_ENGINEERING_SELECTION,Inspection and measurement procedure
